Designator,Mid X,Mid Y,Layer,Rotation
CN20,82.8802mm,22.9870mm,Top,90
CN19,82.8802mm,31.2928mm,Top,270
CN21,72.1106mm,34.7218mm,Top,90
CN14,83.3120mm,50.2920mm,Top,90
CN13,31.6230mm,51.0540mm,Top,90
CN12,57.0484mm,111.4806mm,Top,360
CN11,83.3374mm,61.7728mm,Top,270
CN10,86.6758mm,121.5127mm,Top,200
CN9,27.0465mm,121.1825mm,Top,160
CN5,31.6230mm,39.1160mm,Top,90
U5,76.6104mm,98.3071mm,Top,180
CN27,71.6280mm,19.2419mm,Top,0
CN26,42.9260mm,19.5439mm,Top,0
CN8,97.8140mm,114.7252mm,Top,360
CN7,17.1718mm,114.4458mm,Top,360
CN17,57.0992mm,106.6038mm,Top,0
X3,76.2188mm,91.5227mm,Top,360
X2,34.8676mm,76.5237mm,Top,180
CN1,55.6133mm,47.7266mm,Bottom,90
CN2,44.1833mm,28.8569mm,Top,0
CN3,25.1333mm,28.8569mm,Bottom,270
U6,95.7646mm,76.9072mm,Top,180
U4,19.3460mm,76.9072mm,Top,180
CN18,41.2242mm,4.7752mm,Top,360
R75,42.0878mm,97.7138mm,Top,90
R74,39.9288mm,97.7138mm,Top,90
R73,37.7698mm,97.7138mm,Top,90
R71,12.9540mm,17.5260mm,Top,90
R70,14.3002mm,17.5260mm,Top,90
R69,98.9330mm,70.4596mm,Top,90
R64,24.4702mm,69.9462mm,Top,90
R52,58.6740mm,76.7080mm,Top,90
R51,59.9440mm,76.7080mm,Top,90
R49,27.7622mm,32.2580mm,Top,180
R48,100.0760mm,74.8030mm,Top,360
R47,14.7646mm,77.2668mm,Top,180
R46,100.0760mm,75.9714mm,Top,360
R45,14.7828mm,76.1492mm,Top,180
R44,100.0760mm,73.6092mm,Top,360
R43,14.7828mm,78.3590mm,Top,180
R42,16.6207mm,81.0458mm,Top,90
R41,20.7518mm,81.0458mm,Top,90
R40,90.9646mm,77.0128mm,Top,180
R39,93.0656mm,81.1022mm,Top,90
R38,14.7828mm,79.4258mm,Top,180
R37,18.8051mm,81.0458mm,Top,90
R36,90.9646mm,76.0222mm,Top,180
R35,90.9646mm,79.4004mm,Top,180
R34,17.7546mm,81.0458mm,Top,90
R33,21.7778mm,81.0458mm,Top,90
R32,90.9646mm,78.3844mm,Top,180
R31,94.1388mm,81.1022mm,Top,90
R30,23.3934mm,78.2244mm,Top,360
R29,23.3934mm,74.9250mm,Top,360
R28,97.3328mm,81.1022mm,Top,90
R27,100.0760mm,78.1304mm,Top,360
R26,23.3934mm,79.3242mm,Top,360
R25,23.3934mm,76.0248mm,Top,360
R24,95.2246mm,81.1022mm,Top,90
R23,100.0760mm,79.1718mm,Top,360
R18,23.3934mm,77.1246mm,Top,360
R17,23.3934mm,73.8252mm,Top,360
R12,98.6028mm,81.1022mm,Top,90
R11,100.0760mm,77.0992mm,Top,360
R5,40.6400mm,63.2460mm,Top,90
R4,55.3720mm,76.7080mm,Top,270
R3,41.7576mm,66.0654mm,Top,360
R72,42.1132mm,99.9062mm,Top,90
R20,39.8780mm,99.9062mm,Top,90
R19,37.7444mm,99.9062mm,Top,90
R68,97.6884mm,70.3596mm,Top,270
R67,96.3168mm,70.3596mm,Top,270
R66,91.6194mm,74.1426mm,Top,180
R65,91.6432mm,72.6694mm,Top,180
R63,69.9516mm,99.3648mm,Top,270
R62,25.6894mm,69.8462mm,Top,270
R61,23.3272mm,69.8462mm,Top,270
R60,22.0318mm,69.8462mm,Top,270
R59,14.6832mm,72.9362mm,Top,180
R58,14.6832mm,71.7424mm,Top,180
R57,72.5170mm,95.0214mm,Top,180
R56,71.3660mm,97.6376mm,Top,180
R55,81.9658mm,98.2980mm,Top,270
R54,71.0438mm,99.3060mm,Top,90
R53,75.8698mm,103.3620mm,Top,90
R16,65.0240mm,25.1460mm,Top,360
R50,27.6098mm,33.4264mm,Top,360
R15,17.1577mm,20.9165mm,Top,90
R13,15.6083mm,20.9165mm,Top,90
R10,61.7220mm,103.6014mm,Top,360
R9,57.1500mm,103.6014mm,Top,180
R8,63.5000mm,88.6460mm,Top,90
R22,51.3588mm,56.8960mm,Top,270
R21,49.5808mm,56.8960mm,Top,270
R14,35.4076mm,9.3726mm,Top,180
R7,86.6140mm,33.2740mm,Top,90
R6,86.6140mm,20.3580mm,Top,270
R2,84.8360mm,13.2460mm,Top,90
R1,65.6336mm,48.7680mm,Top,180
FB1,53.8480mm,16.2560mm,Top,90
U7,14.7320mm,12.1920mm,Top,270
